date,agtype,amount
2019-03-15,Wheat,210
2019-03-15,Rice,404
2019-03-15,Soybean,337
2019-03-15,Corn,149
2019-03-18,Wheat,208
2019-03-18,Rice,405
2019-03-18,Soybean,335
2019-03-18,Corn,149
2019-03-19,Wheat,208
2019-03-19,Rice,404
2019-03-19,Soybean,335
2019-03-19,Corn,149
2019-03-20,Wheat,211
2019-03-20,Rice,404
2019-03-20,Soybean,336
2019-03-20,Corn,149
2019-03-21,Wheat,212
2019-03-21,Rice,404
2019-03-21,Soybean,337
2019-03-21,Corn,151
2019-03-22,Wheat,212
2019-03-22,Rice,404
2019-03-22,Soybean,335
2019-03-22,Corn,151
2019-03-25,Wheat,213
2019-03-25,Rice,404
2019-03-25,Soybean,336
2019-03-25,Corn,152
2019-03-26,Wheat,213
2019-03-26,Rice,405
2019-03-26,Soybean,334
2019-03-26,Corn,151
2019-03-27,Wheat,213
2019-03-27,Rice,405
2019-03-27,Soybean,329
2019-03-27,Corn,150
2019-03-28,Wheat,211
2019-03-28,Rice,404
2019-03-28,Soybean,329
2019-03-28,Corn,150
2019-03-29,Wheat,208
2019-03-29,Rice,404
2019-03-29,Soybean,328
2019-03-29,Corn,143
2019-04-01,Wheat,210
2019-04-01,Rice,404
2019-04-01,Soybean,332
2019-04-01,Corn,145
2019-04-02,Wheat,211
2019-04-02,Rice,404
2019-04-02,Soybean,333
2019-04-02,Corn,145
2019-04-03,Wheat,214
2019-04-03,Rice,404
2019-04-03,Soybean,333
2019-04-03,Corn,145
2019-04-04,Wheat,214
2019-04-04,Rice,404
2019-04-04,Soybean,336
2019-04-04,Corn,146
2019-04-05,Wheat,213
2019-04-05,Rice,404
2019-04-05,Soybean,333
2019-04-05,Corn,145
2019-04-08,Wheat,211
2019-04-08,Rice,404
2019-04-08,Soybean,333
2019-04-08,Corn,144
2019-04-09,Wheat,209
2019-04-09,Rice,404
2019-04-09,Soybean,333
2019-04-09,Corn,144
2019-04-10,Wheat,208
2019-04-10,Rice,404
2019-04-10,Soybean,334
2019-04-10,Corn,145
2019-04-11,Wheat,209
2019-04-11,Rice,405
2019-04-11,Soybean,332
2019-04-11,Corn,144
2019-04-12,Wheat,211
2019-04-12,Rice,404
2019-04-12,Soybean,332
2019-04-12,Corn,144
2019-04-15,Wheat,209
2019-04-15,Rice,404
2019-04-15,Soybean,333
2019-04-15,Corn,145
2019-04-16,Wheat,202
2019-04-16,Rice,404
2019-04-16,Soybean,329
2019-04-16,Corn,144
2019-04-17,Wheat,203
2019-04-17,Rice,404
2019-04-17,Soybean,326
2019-04-17,Corn,143
2019-04-18,Wheat,202
2019-04-18,Rice,400
2019-04-18,Soybean,326
2019-04-18,Corn,143
2019-04-22,Wheat,198
2019-04-22,Rice,400
2019-04-22,Soybean,325
2019-04-22,Corn,142
2019-04-23,Wheat,199
2019-04-23,Rice,400
2019-04-23,Soybean,319
2019-04-23,Corn,141
2019-04-24,Wheat,196
2019-04-24,Rice,400
2019-04-24,Soybean,317
2019-04-24,Corn,139
2019-04-25,Wheat,198
2019-04-25,Rice,401
2019-04-25,Soybean,318
2019-04-25,Corn,139
2019-04-26,Wheat,198
2019-04-26,Rice,401
2019-04-26,Soybean,316
2019-04-26,Corn,141
2019-04-29,Wheat,194
2019-04-29,Rice,400
2019-04-29,Soybean,314
2019-04-29,Corn,141
2019-04-30,Wheat,190
2019-04-30,Rice,400
2019-04-30,Soybean,312
2019-04-30,Corn,141
2019-05-01,Wheat,198
2019-05-01,Rice,400
2019-05-01,Soybean,315
2019-05-01,Corn,147
2019-05-02,Wheat,202
2019-05-02,Rice,400
2019-05-02,Soybean,312
2019-05-02,Corn,148
2019-05-03,Wheat,199
2019-05-03,Rice,400
2019-05-03,Soybean,312
2019-05-03,Corn,148
2019-05-06,Wheat,199
2019-05-06,Rice,400
2019-05-06,Soybean,308
2019-05-06,Corn,146
2019-05-07,Wheat,200
2019-05-07,Rice,400
2019-05-07,Soybean,308
2019-05-07,Corn,147
2019-05-08,Wheat,200
2019-05-08,Rice,400
2019-05-08,Soybean,306
2019-05-08,Corn,146
2019-05-09,Wheat,195
2019-05-09,Rice,401
2019-05-09,Soybean,301
2019-05-09,Corn,141
2019-05-10,Wheat,193
2019-05-10,Rice,400
2019-05-10,Soybean,300
2019-05-10,Corn,141
2019-05-13,Wheat,199
2019-05-13,Rice,400
2019-05-13,Soybean,297
2019-05-13,Corn,143
2019-05-14,Wheat,204
2019-05-14,Rice,406
2019-05-14,Soybean,308
2019-05-14,Corn,148
2019-05-15,Wheat,204
2019-05-15,Rice,400
2019-05-15,Soybean,309
2019-05-15,Corn,148
2019-05-16,Wheat,212
2019-05-16,Rice,400
2019-05-16,Soybean,311
2019-05-16,Corn,152
2019-05-17,Wheat,211
2019-05-17,Rice,400
2019-05-17,Soybean,304
2019-05-17,Corn,153
2019-05-20,Wheat,217
2019-05-20,Rice,400
2019-05-20,Soybean,308
2019-05-20,Corn,156
2019-05-21,Wheat,218
2019-05-21,Rice,400
2019-05-21,Soybean,304
2019-05-21,Corn,158
2019-05-22,Wheat,215
2019-05-22,Rice,400
2019-05-22,Soybean,307
2019-05-22,Corn,158
2019-05-23,Wheat,214
2019-05-23,Rice,401
2019-05-23,Soybean,304
2019-05-23,Corn,156
2019-05-24,Wheat,223
2019-05-24,Rice,400
2019-05-24,Soybean,307
2019-05-24,Corn,162
2019-05-27,Wheat,226
2019-05-27,Rice,400
2019-05-27,Soybean,312
2019-05-27,Corn,165
2019-05-28,Wheat,229
2019-05-28,Rice,401
2019-05-28,Soybean,317
2019-05-28,Corn,168
2019-05-29,Wheat,223
2019-05-29,Rice,400
2019-05-29,Soybean,323
2019-05-29,Corn,168
2019-05-30,Wheat,234
2019-05-30,Rice,400
2019-05-30,Soybean,329
2019-05-30,Corn,175
2019-05-31,Wheat,229
2019-05-31,Rice,400
2019-05-31,Soybean,325
2019-05-31,Corn,171
2019-06-03,Wheat,236
2019-06-03,Rice,400
2019-06-03,Soybean,326
2019-06-03,Corn,170
2019-06-04,Wheat,231
2019-06-04,Rice,400
2019-06-04,Soybean,327
2019-06-04,Corn,170
2019-06-05,Wheat,223
2019-06-05,Rice,400
2019-06-05,Soybean,322
2019-06-05,Corn,166
2019-06-06,Wheat,232
2019-06-06,Rice,401
2019-06-06,Soybean,322
2019-06-06,Corn,168
2019-06-07,Wheat,229
2019-06-07,Rice,400
2019-06-07,Soybean,317
2019-06-07,Corn,166
2019-06-10,Wheat,231
2019-06-10,Rice,400
2019-06-10,Soybean,318
2019-06-10,Corn,166
2019-06-11,Wheat,235
2019-06-11,Rice,400
2019-06-11,Soybean,318
2019-06-11,Corn,171
2019-06-12,Wheat,239
2019-06-12,Rice,400
2019-06-12,Soybean,325
2019-06-12,Corn,172
2019-06-13,Wheat,243
2019-06-13,Rice,400
2019-06-13,Soybean,329
2019-06-13,Corn,177
2019-06-14,Wheat,245
2019-06-14,Rice,400
2019-06-14,Soybean,332
2019-06-14,Corn,181
2019-06-17,Wheat,245
2019-06-17,Rice,400
2019-06-17,Soybean,338
2019-06-17,Corn,182
2019-06-18,Wheat,242
2019-06-18,Rice,400
2019-06-18,Soybean,338
2019-06-18,Corn,180
2019-06-19,Wheat,237
2019-06-19,Rice,400
2019-06-19,Soybean,335
2019-06-19,Corn,176
2019-06-20,Wheat,239
2019-06-20,Rice,400
2019-06-20,Soybean,339
2019-06-20,Corn,180
2019-06-21,Wheat,239
2019-06-21,Rice,400
2019-06-21,Soybean,334
2019-06-21,Corn,177
2019-06-24,Wheat,245
2019-06-24,Rice,400
2019-06-24,Soybean,337
2019-06-24,Corn,179
2019-06-25,Wheat,244
2019-06-25,Rice,400
2019-06-25,Soybean,335
2019-06-25,Corn,179
2019-06-26,Wheat,247
2019-06-26,Rice,400
2019-06-26,Soybean,331
2019-06-26,Corn,177
2019-06-27,Wheat,249
2019-06-27,Rice,400
2019-06-27,Soybean,329
2019-06-27,Corn,176
2019-06-28,Wheat,240
2019-06-28,Rice,400
2019-06-28,Soybean,333
2019-06-28,Corn,168
2019-07-01,Wheat,233
2019-07-01,Rice,400
2019-07-01,Soybean,330
2019-07-01,Corn,166
2019-07-02,Wheat,229
2019-07-02,Rice,400
2019-07-02,Soybean,326
2019-07-02,Corn,168
2019-07-03,Wheat,234
2019-07-03,Rice,401
2019-07-03,Soybean,330
2019-07-03,Corn,175
2019-07-04,Wheat,234
2019-07-04,Rice,400
2019-07-04,Soybean,327
2019-07-04,Corn,175
2019-07-05,Wheat,234
2019-07-05,Rice,400
2019-07-05,Soybean,324
2019-07-05,Corn,176
2019-07-08,Wheat,232
2019-07-08,Rice,401
2019-07-08,Soybean,326
2019-07-08,Corn,176
2019-07-09,Wheat,229
2019-07-09,Rice,400
2019-07-09,Soybean,328
2019-07-09,Corn,173
2019-07-10,Wheat,229
2019-07-10,Rice,401
2019-07-10,Soybean,331
2019-07-10,Corn,174
2019-07-11,Wheat,237
2019-07-11,Rice,400
2019-07-11,Soybean,333
2019-07-11,Corn,178
2019-07-12,Wheat,238
2019-07-12,Rice,401
2019-07-12,Soybean,338
2019-07-12,Corn,182
2019-07-15,Wheat,231
2019-07-15,Rice,400
2019-07-15,Soybean,334
2019-07-15,Corn,176
2019-07-16,Wheat,231
2019-07-16,Rice,401
2019-07-16,Soybean,329
2019-07-16,Corn,174
2019-07-17,Wheat,230
2019-07-17,Rice,406
2019-07-17,Soybean,327
2019-07-17,Corn,174
2019-07-18,Wheat,224
2019-07-18,Rice,405
2019-07-18,Soybean,326
2019-07-18,Corn,170
2019-07-19,Wheat,228
2019-07-19,Rice,405
2019-07-19,Soybean,334
2019-07-19,Corn,172
2019-07-22,Wheat,221
2019-07-22,Rice,405
2019-07-22,Soybean,329
2019-07-22,Corn,169
2019-07-23,Wheat,221
2019-07-23,Rice,405
2019-07-23,Soybean,328
2019-07-23,Corn,170
2019-07-24,Wheat,226
2019-07-24,Rice,406
2019-07-24,Soybean,330
2019-07-24,Corn,170
2019-07-25,Wheat,227
2019-07-25,Rice,406
2019-07-25,Soybean,327
2019-07-25,Corn,167
2019-07-26,Wheat,225
2019-07-26,Rice,405
2019-07-26,Soybean,327
2019-07-26,Corn,166
2019-07-29,Wheat,229
2019-07-29,Rice,406
2019-07-29,Soybean,328
2019-07-29,Corn,167
2019-07-30,Wheat,226
2019-07-30,Rice,405
2019-07-30,Soybean,325
2019-07-30,Corn,165
2019-07-31,Wheat,221
2019-07-31,Rice,406
2019-07-31,Soybean,320
2019-07-31,Corn,160
2019-08-01,Wheat,216
2019-08-01,Rice,405
2019-08-01,Soybean,316
2019-08-01,Corn,157
2019-08-02,Wheat,223
2019-08-02,Rice,406
2019-08-02,Soybean,317
2019-08-02,Corn,160
2019-08-05,Wheat,225
2019-08-05,Rice,405
2019-08-05,Soybean,317
2019-08-05,Corn,162
2019-08-06,Wheat,220
2019-08-06,Rice,406
2019-08-06,Soybean,316
2019-08-06,Corn,162
2019-08-07,Wheat,222
2019-08-07,Rice,406
2019-08-07,Soybean,316
2019-08-07,Corn,163
2019-08-08,Wheat,227
2019-08-08,Rice,405
2019-08-08,Soybean,322
2019-08-08,Corn,164
2019-08-09,Wheat,227
2019-08-09,Rice,405
2019-08-09,Soybean,326
2019-08-09,Corn,164
2019-08-12,Wheat,214
2019-08-12,Rice,405
2019-08-12,Soybean,321
2019-08-12,Corn,154
2019-08-13,Wheat,215
2019-08-13,Rice,408
2019-08-13,Soybean,325
2019-08-13,Corn,146
2019-08-14,Wheat,215
2019-08-14,Rice,408
2019-08-14,Soybean,321
2019-08-14,Corn,144
2019-08-15,Wheat,213
2019-08-15,Rice,409
2019-08-15,Soybean,318
2019-08-15,Corn,144
2019-08-16,Wheat,214
2019-08-16,Rice,408
2019-08-16,Soybean,321
2019-08-16,Corn,148
2019-08-19,Wheat,212
2019-08-19,Rice,408
2019-08-19,Soybean,316
2019-08-19,Corn,146
2019-08-20,Wheat,209
2019-08-20,Rice,408
2019-08-20,Soybean,317
2019-08-20,Corn,144
2019-08-21,Wheat,210
2019-08-21,Rice,408
2019-08-21,Soybean,319
2019-08-21,Corn,145
2019-08-22,Wheat,212
2019-08-22,Rice,409
2019-08-22,Soybean,317
2019-08-22,Corn,145
2019-08-23,Wheat,216
2019-08-23,Rice,409
2019-08-23,Soybean,312
2019-08-23,Corn,144
2019-08-26,Wheat,215
2019-08-26,Rice,409
2019-08-26,Soybean,316
2019-08-26,Corn,143
2019-08-27,Wheat,215
2019-08-27,Rice,411
2019-08-27,Soybean,313
2019-08-27,Corn,143
2019-08-28,Wheat,215
2019-08-28,Rice,410
2019-08-28,Soybean,316
2019-08-28,Corn,145
2019-08-29,Wheat,214
2019-08-29,Rice,410
2019-08-29,Soybean,317
2019-08-29,Corn,144
2019-08-30,Wheat,205
2019-08-30,Rice,411
2019-08-30,Soybean,317
2019-08-30,Corn,143
2019-09-02,Wheat,206
2019-09-02,Rice,410
2019-09-02,Soybean,320
2019-09-02,Corn,144
2019-09-03,Wheat,206
2019-09-03,Rice,410
2019-09-03,Soybean,322
2019-09-03,Corn,144
2019-09-04,Wheat,209
2019-09-04,Rice,410
2019-09-04,Soybean,324
2019-09-04,Corn,143
2019-09-05,Wheat,212
2019-09-05,Rice,410
2019-09-05,Soybean,319
2019-09-05,Corn,144
2019-09-06,Wheat,211
2019-09-06,Rice,410
2019-09-06,Soybean,318
2019-09-06,Corn,142
2019-09-09,Wheat,216
2019-09-09,Rice,410
2019-09-09,Soybean,318
2019-09-09,Corn,142
2019-09-10,Wheat,219
2019-09-10,Rice,410
2019-09-10,Soybean,323
2019-09-10,Corn,145
2019-09-11,Wheat,217
2019-09-11,Rice,410
2019-09-11,Soybean,321
2019-09-11,Corn,144
2019-09-12,Wheat,220
2019-09-12,Rice,425
2019-09-12,Soybean,332
2019-09-12,Corn,147
2019-09-13,Wheat,220
2019-09-13,Rice,425
2019-09-13,Soybean,333
2019-09-13,Corn,148
2019-09-16,Wheat,222
2019-09-16,Rice,425
2019-09-16,Soybean,333
2019-09-16,Corn,150
2019-09-17,Wheat,220
2019-09-17,Rice,425
2019-09-17,Soybean,331
2019-09-17,Corn,147
2019-09-18,Wheat,223
2019-09-18,Rice,425
2019-09-18,Soybean,329
2019-09-18,Corn,149
2019-09-19,Wheat,222
2019-09-19,Rice,425
2019-09-19,Soybean,331
2019-09-19,Corn,149
2019-09-20,Wheat,220
2019-09-20,Rice,425
2019-09-20,Soybean,327
2019-09-20,Corn,148
2019-09-23,Wheat,220
2019-09-23,Rice,425
2019-09-23,Soybean,331
2019-09-23,Corn,149
2019-09-24,Wheat,219
2019-09-24,Rice,425
2019-09-24,Soybean,331
2019-09-24,Corn,150
2019-09-25,Wheat,217
2019-09-25,Rice,425
2019-09-25,Soybean,329
2019-09-25,Corn,150
2019-09-26,Wheat,220
2019-09-26,Rice,425
2019-09-26,Soybean,329
2019-09-26,Corn,149
2019-09-27,Wheat,221
2019-09-27,Rice,422
2019-09-27,Soybean,327
2019-09-27,Corn,149
2019-09-30,Wheat,225
2019-09-30,Rice,425
2019-09-30,Soybean,336
2019-09-30,Corn,155
2019-10-01,Wheat,227
2019-10-01,Rice,422
2019-10-01,Soybean,341
2019-10-01,Corn,157
2019-10-02,Wheat,222
2019-10-02,Rice,425
2019-10-02,Soybean,338
2019-10-02,Corn,155
2019-10-03,Wheat,222
2019-10-03,Rice,422
2019-10-03,Soybean,338
2019-10-03,Corn,156
2019-10-04,Wheat,223
2019-10-04,Rice,422
2019-10-04,Soybean,339
2019-10-04,Corn,154
2019-10-07,Wheat,222
2019-10-07,Rice,422
2019-10-07,Soybean,339
2019-10-07,Corn,155
2019-10-08,Wheat,227
2019-10-08,Rice,422
2019-10-08,Soybean,341
2019-10-08,Corn,158
2019-10-09,Wheat,227
2019-10-09,Rice,422
2019-10-09,Soybean,342
2019-10-09,Corn,158
2019-10-10,Wheat,224
2019-10-10,Rice,422
2019-10-10,Soybean,342
2019-10-10,Corn,152
2019-10-11,Wheat,231
2019-10-11,Rice,416
2019-10-11,Soybean,347
2019-10-11,Corn,159
2019-10-14,Wheat,232
2019-10-14,Rice,416
2019-10-14,Soybean,348
2019-10-14,Corn,159
2019-10-15,Wheat,230
2019-10-15,Rice,416
2019-10-15,Soybean,346
2019-10-15,Corn,157
2019-10-16,Wheat,233
2019-10-16,Rice,416
2019-10-16,Soybean,344
2019-10-16,Corn,157
2019-10-17,Wheat,239
2019-10-17,Rice,416
2019-10-17,Soybean,345
2019-10-17,Corn,158
2019-10-18,Wheat,242
2019-10-18,Rice,416
2019-10-18,Soybean,346
2019-10-18,Corn,156
2019-10-21,Wheat,238
2019-10-21,Rice,416
2019-10-21,Soybean,346
2019-10-21,Corn,155
2019-10-22,Wheat,235
2019-10-22,Rice,416
2019-10-22,Soybean,346
2019-10-22,Corn,155
2019-10-23,Wheat,237
2019-10-23,Rice,416
2019-10-23,Soybean,346
2019-10-23,Corn,155
2019-10-24,Wheat,235
2019-10-24,Rice,416
2019-10-24,Soybean,346
2019-10-24,Corn,155
2019-10-25,Wheat,235
2019-10-25,Rice,416
2019-10-25,Soybean,341
2019-10-25,Corn,155
2019-10-28,Wheat,233
2019-10-28,Rice,416
2019-10-28,Soybean,341
2019-10-28,Corn,154
2019-10-29,Wheat,233
2019-10-29,Rice,416
2019-10-29,Soybean,340
2019-10-29,Corn,155
2019-10-30,Wheat,231
2019-10-30,Rice,416
2019-10-30,Soybean,339
2019-10-30,Corn,156
2019-10-31,Wheat,231
2019-10-31,Rice,416
2019-10-31,Soybean,340
2019-10-31,Corn,156
2019-11-01,Wheat,235
2019-11-01,Rice,416
2019-11-01,Soybean,347
2019-11-01,Corn,156
2019-11-04,Wheat,232
2019-11-04,Rice,416
2019-11-04,Soybean,347
2019-11-04,Corn,153
2019-11-05,Wheat,234
2019-11-05,Rice,416
2019-11-05,Soybean,346
2019-11-05,Corn,153
2019-11-06,Wheat,235
2019-11-06,Rice,416
2019-11-06,Soybean,344
2019-11-06,Corn,152
2019-11-07,Wheat,233
2019-11-07,Rice,416
2019-11-07,Soybean,347
2019-11-07,Corn,150
2019-11-08,Wheat,232
2019-11-08,Rice,416
2019-11-08,Soybean,345
2019-11-08,Corn,151
2019-11-11,Wheat,230
2019-11-11,Rice,411
2019-11-11,Soybean,340
2019-11-11,Corn,149
2019-11-12,Wheat,235
2019-11-12,Rice,411
2019-11-12,Soybean,340
2019-11-12,Corn,151
2019-11-13,Wheat,231
2019-11-13,Rice,411
2019-11-13,Soybean,339
2019-11-13,Corn,150
2019-11-14,Wheat,231
2019-11-14,Rice,411
2019-11-14,Soybean,340
2019-11-14,Corn,150
2019-11-15,Wheat,229
2019-11-15,Rice,411
2019-11-15,Soybean,340
2019-11-15,Corn,149
2019-11-18,Wheat,231
2019-11-18,Rice,411
2019-11-18,Soybean,337
2019-11-18,Corn,147
2019-11-19,Wheat,233
2019-11-19,Rice,410
2019-11-19,Soybean,338
2019-11-19,Corn,148
2019-11-20,Wheat,234
2019-11-20,Rice,411
2019-11-20,Soybean,335
2019-11-20,Corn,147
2019-11-21,Wheat,231
2019-11-21,Rice,410
2019-11-21,Soybean,334
2019-11-21,Corn,147
2019-11-22,Wheat,234
2019-11-22,Rice,411
2019-11-22,Soybean,332
2019-11-22,Corn,148
2019-11-25,Wheat,241
2019-11-25,Rice,411
2019-11-25,Soybean,331
2019-11-25,Corn,148
2019-11-26,Wheat,241
2019-11-26,Rice,411
2019-11-26,Soybean,328
2019-11-26,Corn,147
2019-11-27,Wheat,240
2019-11-27,Rice,410
2019-11-27,Soybean,327
2019-11-27,Corn,145
2019-11-28,Wheat,245
2019-11-28,Rice,410
2019-11-28,Soybean,326
2019-11-28,Corn,147
2019-11-29,Wheat,249
2019-11-29,Rice,410
2019-11-29,Soybean,325
2019-11-29,Corn,149
2019-12-02,Wheat,243
2019-12-02,Rice,410
2019-12-02,Soybean,322
2019-12-02,Corn,153
2019-12-03,Wheat,239
2019-12-03,Rice,410
2019-12-03,Soybean,323
2019-12-03,Corn,153
2019-12-04,Wheat,240
2019-12-04,Rice,410
2019-12-04,Soybean,325
2019-12-04,Corn,151
2019-12-05,Wheat,238
2019-12-05,Rice,411
2019-12-05,Soybean,328
2019-12-05,Corn,151
2019-12-06,Wheat,238
2019-12-06,Rice,410
2019-12-06,Soybean,329
2019-12-06,Corn,151
2019-12-09,Wheat,238
2019-12-09,Rice,410
2019-12-09,Soybean,332
2019-12-09,Corn,150
2019-12-10,Wheat,238
2019-12-10,Rice,410
2019-12-10,Soybean,334
2019-12-10,Corn,151
2019-12-11,Wheat,236
2019-12-11,Rice,409
2019-12-11,Soybean,331
2019-12-11,Corn,149
2019-12-12,Wheat,241
2019-12-12,Rice,410
2019-12-12,Soybean,333
2019-12-12,Corn,151
2019-12-13,Wheat,242
2019-12-13,Rice,411
2019-12-13,Soybean,336
2019-12-13,Corn,152
2019-12-16,Wheat,250
2019-12-16,Rice,410
2019-12-16,Soybean,341
2019-12-16,Corn,155
2019-12-17,Wheat,253
2019-12-17,Rice,410
2019-12-17,Soybean,344
2019-12-17,Corn,156
2019-12-18,Wheat,249
2019-12-18,Rice,410
2019-12-18,Soybean,344
2019-12-18,Corn,155
2019-12-19,Wheat,248
2019-12-19,Rice,410
2019-12-19,Soybean,342
2019-12-19,Corn,155
2019-12-20,Wheat,246
2019-12-20,Rice,411
2019-12-20,Soybean,344
2019-12-20,Corn,155
2019-12-23,Wheat,245
2019-12-23,Rice,410
2019-12-23,Soybean,346
2019-12-23,Corn,156
2019-12-24,Wheat,246
2019-12-24,Rice,410
2019-12-24,Soybean,347
2019-12-24,Corn,155
2019-12-25,Wheat,248
2019-12-25,Rice,409
2019-12-25,Soybean,347
2019-12-25,Corn,155
2019-12-26,Wheat,250
2019-12-26,Rice,410
2019-12-26,Soybean,347
2019-12-26,Corn,155
2019-12-27,Wheat,253
2019-12-27,Rice,410
2019-12-27,Soybean,344
2019-12-27,Corn,156
2019-12-30,Wheat,253
2019-12-30,Rice,410
2019-12-30,Soybean,348
